,user,date,text,favorite_count,label
98,TheTrueAggie,Mon Dec 02 19:37:02 +0000 2019,"She doesn't care about the use of tithing or even poor people, she's just a commie who hates the church

#DezNat https://t.co/zRf5W9tSCf",62,neutral
49,JReubenCIark,Tue Dec 03 09:22:54 +0000 2019,"LMAO Merry Christmas from the self-parodying progmos at BCC.

""I guess it's good to give things away to poor people… https://t.co/V56s8PPUEU",52,neutral
22,Matthew_7_14,Tue Dec 03 17:42:56 +0000 2019,"Got the text from #LightTheWorld to go donate blood, so I took an early lunch.

#DezNat https://t.co/At7JOpwuV1",45,neutral
60,JPBellum,Tue Dec 03 05:14:13 +0000 2019,Only 2018 #DezNat kids will remember. https://t.co/stN30Nr5x1,40,neutral
7,JPBellum,Tue Dec 03 21:42:41 +0000 2019,Is there anything you now own that wasn’t already handed down to you that you would be surprised/pleased to know yo… https://t.co/HC9SbTmnu6,28,neutral
92,TheDMT1232,Mon Dec 02 20:31:08 +0000 2019,"#LightTheWorld Day 2 

There are a number of patriarchs that I'm able to look to as examples of strength and faithf… https://t.co/A3H3AwaTaD",26,neutral
36,LatterdayDoofus,Tue Dec 03 13:14:20 +0000 2019,"""There is no happiness without service, and there is no greater service than that which converts the home into a di… https://t.co/McxGyQG5pi",25,neutral
48,JReubenCIark,Tue Dec 03 09:30:39 +0000 2019,"The bastards are right about this, though. #DezNat https://t.co/fqEB0JShPH",25,neutral
28,JPBellum,Tue Dec 03 15:50:45 +0000 2019,"“I exhort you, for the sake of the House of Israel, for the sake of Zion which we are to build up, to so live, from… https://t.co/yQ8YVbo80n",18,neutral
96,DrexelGuzy,Mon Dec 02 19:39:51 +0000 2019,@OaksDallinH Thank you Elder Oaks for being a fearless and faithful apostle and ambassador of our Savior Jesus Chri… https://t.co/XJbIZMgrfP,18,neutral
85,Build_Zion,Mon Dec 02 21:34:34 +0000 2019,Start a father's interview with my oldest. We had watched the first vision and I discussed why it mentioned various… https://t.co/VdmTKJ1vKZ,14,neutral
63,SiblingsinZion,Tue Dec 03 03:50:06 +0000 2019,... just learned what #deznat is. It's like discovering there are a bunch of alt-right Santa worshipers. Unbelievable.,13,neutral
83,TheDMT1232,Mon Dec 02 22:05:04 +0000 2019,"Finishing up some college courses today and for some reason, I thought of the Block #DezNat list when I read about… https://t.co/ZCcHRdeFsX",13,neutral
43,ApostolicKeys,Tue Dec 03 10:51:08 +0000 2019,"Even during these difficult times, members “armed with righteousness” can do so many things.We can have love at hom… https://t.co/z3zMZ6hDzi",13,neutral
23,Mormonius2,Tue Dec 03 17:26:37 +0000 2019,"@JanessaTaylor20 @theshizzy777 @ZachBrimhall @Neil10790465 @StJohn724 She loves ""Mormonism."" That's why she:
-Chang… https://t.co/RY5jJB9E0g",12,neutral
18,DezNatDmgCntrl,Tue Dec 03 18:32:56 +0000 2019,"""Dear #DezNat, 
Fight me. 

-No Balls

p.s. You Wont!""

Reads much better as a letter. You're welcome! https://t.co/pSr8xJQgCh",12,neutral
59,Luv2GoFly,Tue Dec 03 05:20:24 +0000 2019,"@SiblingsinZion Nah, you didn’t learn what #DezNat is, if that’s your takeaway on the matter.  Not even close.",11,neutral
11,ApostolicKeys,Tue Dec 03 21:01:39 +0000 2019,“Repentance is a joyful process. Remember that God does not really care who you were and what you did. He cares who… https://t.co/CHQf89wLEL,10,neutral
41,ApostolicKeys,Tue Dec 03 10:57:56 +0000 2019,"“God is a being who is willing to reveal himself, even to his children here on the earth. If they will abide by law… https://t.co/kVid2A4Cng",8,neutral
21,DrexelGuzy,Tue Dec 03 17:45:21 +0000 2019,developing Christlike  attitudes &amp; attributes. Most (maybe all) Christlike qualities cannot be developed in solitud… https://t.co/HwAKhDOVsm,8,neutral
94,TheTriarii,Mon Dec 02 20:00:59 +0000 2019,In my humble opinion the reason no other success can compensate for failure in the home is because more good is don… https://t.co/x3vCyPPC9S,8,neutral
10,taketh_note,Tue Dec 03 21:14:12 +0000 2019,".@sltrib reaffirming what #DezNat has been preaching about the dangerous paths that ProgMos are on. 

Thank you Sal… https://t.co/bgnfbnYV4D",7,neutral
45,ApostolicKeys,Tue Dec 03 10:43:37 +0000 2019,"“it is one thing to notice strong ocean breakers crashing against the shore, heralding another oncoming storm, and… https://t.co/wNjWw0JuZo",7,neutral
68,Build_Zion,Tue Dec 03 01:38:34 +0000 2019,"Ya know because apparently wishing  someone die isn't a violation..... what is Twitter's true agenda

#deznat… https://t.co/W4mMCaBRfE",7,neutral
46,ApostolicKeys,Tue Dec 03 10:18:45 +0000 2019,“Repentance is like soap; it can wash sin away. Ground-in dirt may take the strong detergent of discipline to get t… https://t.co/0sxnp7AijJ,6,neutral
27,AriseThresh,Tue Dec 03 16:19:55 +0000 2019,Inb4 some Mormon feminist defends priestcraft as the only culturally legitimate expression of priestly power Latter… https://t.co/nOP3R3XZan,6,neutral
88,shirt_movement,Mon Dec 02 20:43:15 +0000 2019,My mom said that every man secretly wants polygamy back. I disagree But I was told always to agree with a woman but… https://t.co/eMC4yERot6,6,neutral
19,Neil10790465,Tue Dec 03 18:26:05 +0000 2019,"Happy birthday @HollandJeffreyR !

#Churchofjesuschrist #deznat #twitterstake https://t.co/AERCfrWJFn",6,neutral
77,Mormonius2,Mon Dec 02 22:56:34 +0000 2019,"It's learning at a geometric rate, #DezNat. It's becoming self-aware. 👇🤣 https://t.co/W78IYfjI3v",6,neutral
24,DrexelGuzy,Tue Dec 03 17:25:34 +0000 2019,"The only way to learn, grow and improve is to get comfortable with being uncomfortable. 

#ChurchofJesusChrist 
#DezNat",6,neutral
16,wardpreacher,Tue Dec 03 19:31:46 +0000 2019,"Some folks are a bit protective of their pew... Enjoy a bit of satire!

#DezNat #ChurchOfJesusChrist
 https://t.co/6UoXV3KLSJ",6,neutral
2,DrexelGuzy,Tue Dec 03 22:28:03 +0000 2019,It’s healthier &amp; more productive &amp; satisfying to approach life looking for all the ways we’re failing to meet up to… https://t.co/dClVMWYL5U,6,neutral
25,Mothersdream,Tue Dec 03 17:08:10 +0000 2019,17 ​For God ​​​sent​ not his Son into the world to ​​​condemn​ the world; but that the world through him might be ​… https://t.co/SC7D10mNVU,5,neutral
54,JesseLucasSaga,Tue Dec 03 06:24:14 +0000 2019,"if diversity is our strength what's wrong with attaching a label to ourselves?
just a #DezNat thought",5,neutral
6,JPBellum,Tue Dec 03 21:44:29 +0000 2019,Please take a moment for this important poll. #DezNat https://t.co/VHqMGz3pjv,5,neutral
37,JamborOliver,Tue Dec 03 13:09:07 +0000 2019,@scotthoward @OfSifter @magjoy12 It’s almost like you don’t realize that Maggie has already established a closeness… https://t.co/mzAAWALNRO,5,neutral
55,JesseLucasSaga,Tue Dec 03 06:23:19 +0000 2019,"progmos think your testimony is unimportant, irrelevant, ""too personal"" to be part of your public life - but your o… https://t.co/bls2XMY8ux",4,neutral
64,LDSBeard,Tue Dec 03 03:28:57 +0000 2019,It is the grind in between baptisms that truly make a mission and a missionary. That is where the changes of heart… https://t.co/gzdC6QUzST,4,neutral
99,BuzzedMormon,Mon Dec 02 19:34:22 +0000 2019,"Provo - still the ""Punk Rock"" leader of ""Say Yes To The Dress"" counter culture.

h/t: @calvinjburke… https://t.co/Jf9G8l41tY",4,neutral
12,ApostolicKeys,Tue Dec 03 20:57:31 +0000 2019,"“When a person’s receptor for God’s love is dysfunctional, God’s influence in his or her life is minimized. The abi… https://t.co/pdN0F6pa3m",4,neutral
65,LDSBeard,Tue Dec 03 03:19:12 +0000 2019,"This is a lifestyle.

#BYDNW #DezNat https://t.co/qLp4nMWbZF",3,neutral
75,LDSApologian,Mon Dec 02 23:13:38 +0000 2019,"1 Nephi 15:21-22: The Tree in a Vision Signifying a Tree
https://t.co/wpU3XOFgjH
#mormon #mormonism #twitterstake… https://t.co/wuncOrMdPj",3,neutral
53,larknap,Tue Dec 03 06:27:36 +0000 2019,@KeatonBrumley We would all be at your baptism if we could. I would be there cheering you on. The whole #DezNat crew would. ❤️,3,neutral
40,NorthSouthwick,Tue Dec 03 12:48:22 +0000 2019,"Those at #DezNat are Christlike because they “push back against the world”, as @OaksDallinH admonishes us to do, by… https://t.co/V48LMiyMYq",2,neutral
73,_Jayson_Carmona,Tue Dec 03 00:14:27 +0000 2019,If only the antimos would allow us to befriend them. Invite them over for some pecan pie cheesecake and Kirkland sp… https://t.co/q0m9AGp4Vm,2,neutral
4,TateBlack4,Tue Dec 03 21:55:19 +0000 2019,My only issue with “progressive Mormons” are the ones that believe civilians shouldn’t have access to firearms.....… https://t.co/b4IdjAFW2J,2,neutral
67,AtheistEngineer,Tue Dec 03 02:55:27 +0000 2019,@NorthSouthwick @sventhelost @PaulJohnstun @ChurchNewsroom #DezNat: Alternative Facts Jesus https://t.co/tW3fgOVxxM,2,neutral
66,IDidntFuckThem,Tue Dec 03 02:59:34 +0000 2019,What @LDSchurch doctrine is actually about. #LightTheWorld #DezNat #DezNats https://t.co/kfzzXUPnqw,2,neutral
62,NorthSouthwick,Tue Dec 03 04:14:22 +0000 2019,To reject the living prophets for any reason is to reject Christ. #DezNat #LightTheWorld,2,neutral
87,Build_Zion,Mon Dec 02 20:43:21 +0000 2019,"This was actually the mental gymnastics antimos use to ""convince"" you 

#deznat #churchofjesuschrist #ldzion https://t.co/XM5WvOqddn",2,neutral
39,heartteachmind,Tue Dec 03 12:54:57 +0000 2019,This wonderful woman is #DezNat and she doesn’t know it. https://t.co/MPuJpGG3Tk,1,neutral
70,jonryanjensen,Tue Dec 03 01:13:20 +0000 2019,@NorthSouthwick @sventhelost @PaulJohnstun @ChurchNewsroom #deznat never wins.,1,neutral
61,FlynnHutchison,Tue Dec 03 05:12:09 +0000 2019,"@shayla_who As places where heaven touches the earth, temples are sacred and important, and exquisitely furnishing… https://t.co/j8qHONo6RB",1,neutral
58,MormonsShit,Tue Dec 03 05:57:43 +0000 2019,"Oh shit 
•
•
#lds #latterdaysaints #mormon #ldschurch #exmo #deznat https://t.co/1goWFVVVLg",1,neutral
71,NorthSouthwick,Tue Dec 03 01:09:33 +0000 2019,"@sventhelost @PaulJohnstun @ChurchNewsroom One just cannot say ""I claim assylum"" and autmatically get in. Even asyl… https://t.co/UVshRKHbjS",1,neutral
79,NancyLClay,Mon Dec 02 22:19:08 +0000 2019,"@Mothersdream What does #DezNat represent? When I look it up, it appears to be an alt-right cult.",1,neutral
78,mormonstoner,Mon Dec 02 22:43:56 +0000 2019,"Well this was a curveball
#LdZion #Deznat https://t.co/fakCeWj3n1",1,neutral
52,Mothersdream,Tue Dec 03 06:44:22 +0000 2019,"@BackFromThat @NancyLClay This is what she asked me.  “What does #DezNat represent? When I look it up, it appears t… https://t.co/xZJUWWCJqq",1,neutral
90,StJohn724,Mon Dec 02 20:33:09 +0000 2019,"RT @TheDMT1232: #LightTheWorld Day 2 

There are a number of patriarchs that I'm able to look to as examples of strength and faithfulness -…",0,neutral
84,Bro_TheCat,Mon Dec 02 22:01:46 +0000 2019,"RT @kankokage: Very poorly. The temple is worth every dime, and we should never consecrate shabbiness to the Lord. Cain tried that already,…",0,neutral
81,COL_James83,Mon Dec 02 22:06:04 +0000 2019,"RT @TheDMT1232: Finishing up some college courses today and for some reason, I thought of the Block #DezNat list when I read about ""Skilled…",0,neutral
80,Maalla00396018,Mon Dec 02 22:09:50 +0000 2019,"RT @SisterBellum: “I am ALPHA AND OMEGA, the beginning and the ending, saith the Lord""
     ~Revelation 1:8

#ChurchofJesusChrist
#Lightthe…",0,neutral
72,ReincarnatedJo1,Tue Dec 03 00:22:44 +0000 2019,"DC 139:1 (new modern edition)
OH hearken ye! If you want to prevent illusion and a mind full of beliefs. Than STOP… https://t.co/jri88nI3mJ",0,neutral
82,GuardofDeseret,Mon Dec 02 22:05:12 +0000 2019,"RT @SisterBellum: “I am ALPHA AND OMEGA, the beginning and the ending, saith the Lord""
     ~Revelation 1:8

#ChurchofJesusChrist
#Lightthe…",0,neutral
95,shirt_movement,Mon Dec 02 20:00:52 +0000 2019,"RT @TheTrueAggie: She doesn't care about the use of tithing or even poor people, she's just a commie who hates the church

#DezNat https://…",0,neutral
97,JPBellum,Mon Dec 02 19:39:21 +0000 2019,"RT @TheTrueAggie: She doesn't care about the use of tithing or even poor people, she's just a commie who hates the church

#DezNat https://…",0,neutral
86,SLCNotUtah2,Mon Dec 02 20:59:05 +0000 2019,"RT @TheTrueAggie: She doesn't care about the use of tithing or even poor people, she's just a commie who hates the church

#DezNat https://…",0,neutral
89,shirt_movement,Mon Dec 02 20:41:28 +0000 2019,"RT @TheDMT1232: #LightTheWorld Day 2 

There are a number of patriarchs that I'm able to look to as examples of strength and faithfulness -…",0,neutral
93,LDSApologian,Mon Dec 02 20:10:19 +0000 2019,"The Christ Child: A Nativity Story
https://t.co/npdU83CtD4
#mormon #mormonism #twitterstake #lds #DezNat #ChurchofJesusChrist",0,neutral
76,larknap,Mon Dec 02 22:56:35 +0000 2019,"RT @TheDMT1232: #LightTheWorld Day 2 

There are a number of patriarchs that I'm able to look to as examples of strength and faithfulness -…",0,neutral
74,magjoy12,Mon Dec 02 23:30:15 +0000 2019,"RT @SisterBellum: “I am ALPHA AND OMEGA, the beginning and the ending, saith the Lord""
     ~Revelation 1:8

#ChurchofJesusChrist
#Lightthe…",0,neutral
91,taketh_note,Mon Dec 02 20:31:48 +0000 2019,"RT @TheDMT1232: #LightTheWorld Day 2 

There are a number of patriarchs that I'm able to look to as examples of strength and faithfulness -…",0,neutral
0,lepetitete,Tue Dec 03 23:53:20 +0000 2019,RT @JPBellum: Is there anything you now own that wasn’t already handed down to you that you would be surprised/pleased to know your great-g…,0,neutral
69,TheDMT1232,Tue Dec 03 01:36:41 +0000 2019,"RT @BackFromThat: No one:

#DezNat:

I have had it up to

High-------
--------------
-------------- &lt;--------
--------------
--------------…",0,neutral
30,GuardofDeseret,Tue Dec 03 14:54:34 +0000 2019,"RT @JReubenCIark: LMAO Merry Christmas from the self-parodying progmos at BCC.

""I guess it's good to give things away to poor people but w…",0,neutral
3,TheDMT1232,Tue Dec 03 22:20:19 +0000 2019,"RT @wardpreacher: Some folks are a bit protective of their pew... Enjoy a bit of satire!

#DezNat #ChurchOfJesusChrist
 https://t.co/6UoXV3…",0,neutral
5,shirt_movement,Tue Dec 03 21:50:08 +0000 2019,RT @JPBellum: Is there anything you now own that wasn’t already handed down to you that you would be surprised/pleased to know your great-g…,0,neutral
8,attilahen89,Tue Dec 03 21:33:06 +0000 2019,Great talk today at BYU-Idaho's devotional by Brian Merrill #DezNat https://t.co/cnnnZXk3sp,0,neutral
9,SchizoidenMann,Tue Dec 03 21:18:18 +0000 2019,"If you missed out on the incredible Geissele Automatics sales this past weekend, go see your bishop. #DezNat",0,neutral
13,1WeAreSoldiers1,Tue Dec 03 20:05:32 +0000 2019,"We are watching this prophecy unfold before our eyes

#WWG1WGA   #MAGA   #KAG   #DezNat 

https://t.co/ITWjT8BEHD via @YouTube",0,neutral
14,MormonsShit,Tue Dec 03 19:41:09 +0000 2019,"My news feed is blowing up! Turns out you can only #LightTheWorld if you’re #mormon
•
#lds #latterdaysaints… https://t.co/7K1COToRbA",0,neutral
15,JPBellum,Tue Dec 03 19:36:22 +0000 2019,"RT @wardpreacher: Some folks are a bit protective of their pew... Enjoy a bit of satire!

#DezNat #ChurchOfJesusChrist
 https://t.co/6UoXV3…",0,neutral
17,NorthSouthwick,Tue Dec 03 19:24:37 +0000 2019,"RT @kankokage: #DezNat Reply Guide:

“I have doubts” -&gt; let’s talk about it

“I’m heartbroken” -&gt; let’s talk about it

“I don’t understand”…",0,neutral
20,StJohn724,Tue Dec 03 17:52:03 +0000 2019,"RT @Mormonius2: @JanessaTaylor20 @theshizzy777 @ZachBrimhall @Neil10790465 @StJohn724 She loves ""Mormonism."" That's why she:
-Changed the w…",0,neutral
26,camp_zion,Tue Dec 03 16:20:11 +0000 2019,RT @AriseThresh: Inb4 some Mormon feminist defends priestcraft as the only culturally legitimate expression of priestly power Latter-day Sa…,0,neutral
29,ZoomerBattalion,Tue Dec 03 15:41:58 +0000 2019,RT @JPBellum: Only 2018 #DezNat kids will remember. https://t.co/stN30Nr5x1,0,neutral
31,MaryHDo,Tue Dec 03 14:39:27 +0000 2019,RT @SiblingsinZion: ... just learned what #deznat is. It's like discovering there are a bunch of alt-right Santa worshipers. Unbelievable.,0,neutral
57,Phillip4365,Tue Dec 03 06:09:58 +0000 2019,"RT @kankokage: Very poorly. The temple is worth every dime, and we should never consecrate shabbiness to the Lord. Cain tried that already,…",0,neutral
32,MormonRifter,Tue Dec 03 14:16:21 +0000 2019,"RT @BozyHasman: A super short #DezNat thread about this week’s #comefollowme:
1 Pet. 2:9 calls saints “a chosen generation... a peculiar pe…",0,neutral
33,MilitantMormon,Tue Dec 03 13:57:38 +0000 2019,RT @JPBellum: Only 2018 #DezNat kids will remember. https://t.co/stN30Nr5x1,0,neutral
34,JPBellum,Tue Dec 03 13:28:02 +0000 2019,"RT @LatterdayDoofus: ""There is no happiness without service, and there is no greater service than that which converts the home into a divin…",0,neutral
35,camp_zion,Tue Dec 03 13:15:39 +0000 2019,"RT @JReubenCIark: LMAO Merry Christmas from the self-parodying progmos at BCC.

""I guess it's good to give things away to poor people but w…",0,neutral
38,YMCM77592104,Tue Dec 03 13:01:16 +0000 2019,"RT @ApostolicKeys: Even during these difficult times, members “armed with righteousness” can do so many things.We can have love at home, ev…",0,neutral
42,MaxwellNealA,Tue Dec 03 10:51:54 +0000 2019,"RT @ApostolicKeys: Even during these difficult times, members “armed with righteousness” can do so many things.We can have love at home, ev…",0,neutral
44,MaxwellNealA,Tue Dec 03 10:43:55 +0000 2019,"RT @ApostolicKeys: “it is one thing to notice strong ocean breakers crashing against the shore, heralding another oncoming storm, and quite…",0,neutral
47,BackHoodOne,Tue Dec 03 10:05:05 +0000 2019,"There seems to be a major sex abuse controversy regarding #JWOrg, maybe #DezNat can do something about it with thei… https://t.co/cm0iTjW8Jr",0,neutral
1,shirt_movement,Tue Dec 03 22:59:24 +0000 2019,"RT @Matthew_7_14: Got the text from #LightTheWorld to go donate blood, so I took an early lunch.

#DezNat https://t.co/At7JOpwuV1",0,neutral
51,scotthoward,Tue Dec 03 06:51:23 +0000 2019,"@OfSifter @magjoy12 Man, I’m going to say it...you’re the only #DezNat stormtrooper that has a heart. There’s hope for you yet. Finn?",0,neutral
56,NateFNP,Tue Dec 03 06:11:23 +0000 2019,RT @JPBellum: “There are those in this Church who calculate to be saved by the righteousness of others. They will miss their mark...I forew…,0,neutral
50,dazbullshit,Tue Dec 03 07:10:13 +0000 2019,#DezNat Fight me. no balls you won't,0,neutral
